7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6
8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5
8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7
8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5
6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5
6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6
7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6
8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6
7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6
6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5
7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6
8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,7
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5
